model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
ridge_sensor_demo,oks,12,12,952,56,5.9377,-1.5146
tuned_ridge,sis,12,12,952,56,2.873,-57.6319
tuned_ridge,ohs,12,12,952,56,8.2159,-1.4109
tuned_ridge,oks,12,12,952,56,7.5497,-1.3225
tuned_elasticnet,sis,12,12,952,56,5.2119,-144.8928
tuned_elasticnet,ohs,12,12,952,56,6.6103,-0.3691
tuned_elasticnet,oks,12,12,952,56,9.3036,-3.0222
rf,sis,12,12,952,56,3.7203,-79.283
rf,ohs,12,12,952,56,8.2971,-1.5669
rf,oks,12,12,952,56,5.1372,-0.1052
lgbm,sis,12,12,952,56,4.0968,-108.6241
lgbm,ohs,12,12,952,56,8.0149,-1.5877
lgbm,oks,12,12,952,56,4.3214,0.1491
baseline_demo_ridge,sis,13,13,952,56,12.5004,-33.3357
baseline_demo_ridge,ohs,13,13,952,56,7.3551,-12.0215
baseline_demo_ridge,oks,13,13,952,56,10.8281,-7.6883
baseline_naive_mean,sis,13,13,952,56,2.875,-0.8533
baseline_naive_mean,ohs,13,13,952,56,1.5882,-0.0069
baseline_naive_mean,oks,13,13,952,56,4.4853,-0.7898
ridge_sensor_demo,sis,13,13,952,56,9.1536,-18.2332
ridge_sensor_demo,ohs,13,13,952,56,6.9052,-14.0125
ridge_sensor_demo,oks,13,13,952,56,9.7604,-7.3666
tuned_ridge,sis,13,13,952,56,6.3744,-8.5957
tuned_ridge,ohs,13,13,952,56,4.7767,-7.8693
tuned_ridge,oks,13,13,952,56,8.8548,-6.2384
tuned_elasticnet,sis,13,13,952,56,2.9272,-0.9447
tuned_elasticnet,ohs,13,13,952,56,1.689,-0.0319
tuned_elasticnet,oks,13,13,952,56,5.0,-1.3484
rf,sis,13,13,952,56,3.3291,-2.876
rf,ohs,13,13,952,56,2.4502,-1.0798
rf,oks,13,13,952,56,7.3767,-3.4507
lgbm,sis,13,13,952,56,3.1692,-2.6701
lgbm,ohs,13,13,952,56,2.4921,-1.3326
lgbm,oks,13,13,952,56,9.058,-5.3503
baseline_demo_ridge,sis,14,14,952,56,3.4605,-11.9748
baseline_demo_ridge,ohs,14,14,952,56,3.6762,-0.9874
baseline_demo_ridge,oks,14,14,952,56,9.7524,-43.4787
baseline_naive_mean,sis,14,14,952,56,2.2647,-5.1289
baseline_naive_mean,ohs,14,14,952,56,2.75,-0.3009
baseline_naive_mean,oks,14,14,952,56,10.0294,-45.9836
ridge_sensor_demo,sis,14,14,952,56,13.3582,-408.4961
ridge_sensor_demo,ohs,14,14,952,56,51.3668,-293.9738
ridge_sensor_demo,oks,14,14,952,56,75.3416,-6951.6347
tuned_ridge,sis,14,14,952,56,3.7768,-21.0512
tuned_ridge,ohs,14,14,952,56,52.2786,-410.1184
tuned_ridge,oks,14,14,952,56,38.6551,-1193.6387
tuned_elasticnet,sis,14,14,952,56,1.7083,-2.8029
tuned_elasticnet,ohs,14,14,952,56,2.7744,-0.2004
tuned_elasticnet,oks,14,14,952,56,15.538,-126.3112
rf,sis,14,14,952,56,1.7239,-3.195
rf,ohs,14,14,952,56,4.1035,-1.7412
rf,oks,14,14,952,56,6.8063,-35.5635
lgbm,sis,14,14,952,56,2.3444,-6.5444
lgbm,ohs,14,14,952,56,5.1467,-2.5009
lgbm,oks,14,14,952,56,10.7647,-62.515
baseline_demo_ridge,sis,15,15,952,56,11.8217,-20.8978
baseline_demo_ridge,ohs,15,15,952,56,15.7388,-113.2381
baseline_demo_ridge,oks,15,15,952,56,16.8106,-129.1865
baseline_naive_mean,sis,15,15,952,56,6.4706,-6.2607
baseline_naive_mean,ohs,15,15,952,56,2.5588,-2.9932
baseline_naive_mean,oks,15,15,952,56,13.7353,-86.2438
ridge_sensor_demo,sis,15,15,952,56,8.2265,-11.7296
ridge_sensor_demo,ohs,15,15,952,56,13.8882,-117.1606
ridge_sensor_demo,oks,15,15,952,56,4.4816,-21.554
tuned_ridge,sis,15,15,952,56,4.7807,-3.7154
tuned_ridge,ohs,15,15,952,56,8.8575,-49.8254
tuned_ridge,oks,15,15,952,56,10.4989,-62.1214
tuned_elasticnet,sis,15,15,952,56,6.3955,-6.1163
tuned_elasticnet,ohs,15,15,952,56,2.1432,-1.8803
tuned_elasticnet,oks,15,15,952,56,12.7656,-74.2559
rf,sis,15,15,952,56,5.0817,-4.0747
rf,ohs,15,15,952,56,3.829,-7.8105
rf,oks,15,15,952,56,10.5211,-52.5741
lgbm,sis,15,15,952,56,4.1174,-2.564
lgbm,ohs,15,15,952,56,7.0466,-27.7512
lgbm,oks,15,15,952,56,9.6117,-46.0188
baseline_demo_ridge,sis,16,16,952,56,3.4428,-3.2143
baseline_demo_ridge,ohs,16,16,952,56,2.25,-0.0072
baseline_demo_ridge,oks,16,16,952,56,8.8417,-7.627
baseline_naive_mean,sis,16,16,952,56,3.5882,-3.4916
baseline_naive_mean,ohs,16,16,952,56,3.6176,-2.3011
baseline_naive_mean,oks,16,16,952,56,5.0,-2.439
ridge_sensor_demo,sis,16,16,952,56,4.1894,-5.2687
ridge_sensor_demo,ohs,16,16,952,56,12.1665,-46.9427
ridge_sensor_demo,oks,16,16,952,56,20.425,-54.6318
tuned_ridge,sis,16,16,952,56,4.4137,-5.3335
tuned_ridge,ohs,16,16,952,56,9.865,-35.6356
tuned_ridge,oks,16,16,952,56,14.6015,-25.0499
tuned_elasticnet,sis,16,16,952,56,3.6979,-3.7086
tuned_elasticnet,ohs,16,16,952,56,3.1912,-1.7181
tuned_elasticnet,oks,16,16,952,56,4.1388,-1.6694
rf,sis,16,16,952,56,2.5311,-1.0336
rf,ohs,16,16,952,56,2.3416,-0.2841
rf,oks,16,16,952,56,10.5073,-12.0564
lgbm,sis,16,16,952,56,2.8341,-1.3766
lgbm,ohs,16,16,952,56,2.4184,-0.4271
lgbm,oks,16,16,952,56,11.7898,-15.915
baseline_demo_ridge,sis,17,17,952,56,1.5,-0.1765
